insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Từ Điển Tiếng “Em” - Tái Bản 2021', 115, '2010/03/05', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Hai Số Phận - Bìa Cứng', 136, '2007/02/18', 2);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'SPY ROOM - Lớp Học Điệp Viên - Tập 1: Hanazono Lily - Bản Đặc Biệt - Tặng Kèm Bookmark Tròn + Poster A3', 412, '2014/04/26', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Tam Quốc Diễn Nghĩa - Bộ 2 Tập (Tái Bản 2020)', 235, '2009/05/26', 4);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thám Tử Đã Chết - Tập 3 - Bản Giới Hạn - Tặng Kèm Bookmark + Bìa 2 Mặt Giới Hạn+ Postcard + Lót Ly', 136, '2016/11/01', 3);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Mong Mẹ Hãy Yêu Lấy Chính Mình', 247, '2009/11/24', 5);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Dược Sư Tự Sự (Light-novel) - Tập 1 - Tặng Kèm Obi + Bookmark + Huy Hiệu', 485, '2005/03/19', 6);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Nhà Giả Kim (Tái Bản 2020)', 121, '2005/02/16', 7);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Chuyện Kể Rằng Có Nàng Và Tôi', 469, '2003/07/05', 1);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Cây Cam Ngọt Của Tôi', 155, '2007/12/17', 8);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bố Già (Đông A)', 412, '2002/01/12', 4);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Những Đêm Không Ngủ Những Ngày Chậm Trôi', 398, '2001/11/08', 9);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Cà Phê Cùng Tony (Tái Bản 2017)', 208, '2009/08/12', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Cho Tôi Xin Một Vé Đi Tuổi Thơ (Bìa Mềm) (Tái Bản 2018)', 143, '2005/06/27', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Ra Bờ Suối Ngắm Hoa Kèn Hồng - Tặng Kèm Bookmark Bồi Hai Mặt + Thiệp Trái Tim In Bài Thơ Của Tác Giả', 297, '2015/04/15', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 2', 176, '2011/11/13', 11);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Bến Xe (Tái Bản 2020)', 493, '2001/12/25', 12);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Hội Chứng E', 132, '2011/09/21', 8);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Không Gia Đình (Bìa Cứng)', 449, '2002/09/27', 4);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Gọi Em Bằng Tên Anh', 411, '2004/12/04', 10);
insert into Book (id, isbn, title, num_page, publication_date, publisher_id) values (default, 'isbnxxx', 'Thiên Quan Tứ Phúc - Tập 1', 302, '2013/04/10', 13);
